provider,context_mode,memory_enabled,number_of_requests,success_rate,average_total_latency_ms,average_llm_latency_ms,average_memory_latency_ms,average_prompt_length_chars,average_response_length_chars
ollama,full,False,24,1.0,1288.966,1288.808,0.0,7293.375,107.875
ollama,full,True,24,1.0,2339.155,1995.136,343.838,8256.625,84.208
ollama,none,False,24,1.0,1283.897,1283.837,0.0,4830.25,116.417
openai,full,False,24,1.0,1297.049,1296.889,0.0,7293.375,135.708
openai,full,True,24,1.0,2050.359,1717.828,332.343,8256.625,152.333
openai,none,False,24,1.0,1430.364,1430.302,0.0,4830.25,142.5
